Titile	Authors	Abstract	Published Year	Published Month	Journal	Volume	Issue	Pages	Accession Number	DOI	Ref	Covidence #	Study	Notes	Tags	DOI	Institute	Country
Chest CT Findings and Clinical Conditions of Coronavirus Disease (COVID-19)	Joob, Beuy; Wiwanitkit, Viroj	NA	2020	NA	AJR. American journal of roentgenology	NA	NA	W1-W1	NA	10.2214/AJR.20.23064	26653	#27766	Joob 2020	NA	NA	10.2214/AJR.20.23064	+ Affiliations: 1Sanitation 1 Medical Academic Center, Bangkok, Thailand2Dr DY Patil University, Pune, India	('Thailand', 1)|('India', 1)
Differential Diagnosis for Coronavirus Disease (COVID-19): Beyond Radiologic Features	Lei, Pinggui; Fan, Bing; Wang, Pingxian	NA	2020	NA	American Journal of Roentgenology	NA	NA	W1-W1	NA	10.2214/AJR.20.23119	30721	#30784	Lei 2020	NA	NA	10.2214/AJR.20.23119	+ Affiliations: 1The Affiliated Hospital of Guizhou, Medical University, Guiyang, China2Jiangxi Provincial People's Hospital, Nanchang, China	('China', 2)
Covid-19 risks and response in South Asia	Bhutta, Zulfiqar A.; Basnyat, Buddha; Saha, Samir; Laxminarayan, Ramanan	The region is ill prepared for the crisis that lies ahead Over the past few weeks we have seen political leaders, policy makers, and health managers grapple with the reality of a novel coronavirus outbreak and its potential for global spread.12 From what initially seemed like a localised outbreak in Hubei province of China in December 2019, it rapidly became clear that SARS-CoV-2 had pandemic potential.3 But it was almost two months before the World Health Organization declared a true global pandemic. The number of deaths from covid-19 in Italy now exceeds those reported from China, and the outbreak in Iran may have seeded cases in Pakistan and Afghanistan.4 The number of reported cases in South Asia remains relatively low, however, and the response patchy. By 24 March, authorities in the South Asian Association for Regional Cooperation (SAARC), which comprises India, Pakistan, Bangladesh, Nepal, Sri Lanka, Maldives, Bhutan, and Afghanistan, had reported just 1536 confirmed cases and â€¦	2020	NA	BMJ	368	NA	m1190-m1190	NA	10.1136/bmj.m1190	15882	#15299	Bhutta 2020	NA	* Opinion piece	10.1136/bmj.m1190	1Center of Excellence in Women and Child Health, Aga Khan University, Karachi, Pakistan |2Oxford University Clinical Research Unit-Patan Academy of Health Sciences, Kathmandu, Nepal|3Child Health Research Foundation, Dhaka, Bangladesh|4Center for Disease Dynamic, Economics and Policy, New Delhi, India	('Pakistan', 1)|('Nepal', 1)|('Bangladesh', 1)|('India', 1)
Response to the emerging novel coronavirus outbreak	Kickbusch, I.; Leung, G.	NA	2020	NA	BMJ (Clinical research ed.)	368	NA	m406	32005675	10.1136/bmj.m406	242	#96	Kickbusch 2020	NA	NA	10.1136/bmj.m406	1Global Health Programme, Graduate Institute of International and Development Studies, Geneva, Switzerland|2Li Ka Shing Faculty of Medicine, University of Hong Kong, Hong Kong SAR, China	('Switzerland', 1)|('China', 1)
Covid-19: how a virus is turning the world upside down	Kickbusch, Ilona; Leung, Gabriel M.; Bhutta, Zulfiqar A.; Matsoso, Malebona Precious; Ihekweazu, Chikwe; Abbasi, Kamran	We may emerge from this with a healthier respect for our common humanity The covid-19 pandemic is the biggest threat in living memory to health and wellbeing, social welfare, and the global economy. In a world shaped by neoliberalism the economy has always come first, but many leaders of rich countries are now explicitly prioritising peopleâ€™s health over the economy. On 26 March, G20 leaders held an extraordinary summit on health, focusing on covid-19. In the face of the severe economic impact of necessary public health actions, financial rules that were considered sacrosanct are being bent with startling speed and force. Germanyâ€™s chancellor, Angela Merkel, promised, â€œWe will do what is necessary.â€ Germany has enough financial reserves and emergency instruments to release additional funds and maintain economic life.1 France is engaged in an economic and financial war, according to its finance minister: â€œThis war will be long, it will be violent, and we must mobilise all our national, European, and G7 forces.â€2 President Cyril Ramaphosa of South Africa believes that, â€œWhat we are witnessing is social solidarity in action, a defining feature of our nationhood.â€3 The global economy is braced for at least $2.7tn (Â£2tn; â‚¬2.5tn) in lost output, equivalent to the annual gross domestic product of the United Kingdom.4 Projections indicate that many economies will be crippled and unable to recover quickly, especially in the global South.5 The Organisation for Economic Cooperation and Development, created to implement the Marshall plan after the second world war, is calling for a global new deal.6 If economies and social order collapse in South Asia, Africa, or Latin America, no border, wall, or boundary will be enough to contain the consequences. At its emergency summit, the G20 committed â€œto do whatever it takes to overcome the pandemic,â€ â€¦	2020	NA	BMJ (Clinical research ed.)	369	NA	m1336-m1336	NA	10.1136/bmj.m1336	30608	#30594	Kickbusch 2020	NA	NA	10.1136/bmj.m1336	1Global Health Programme, Graduate Institute of International and Development Studies, Geneva, Switzerland|2Li Ka Shing Faculty of Medicine, University of Hong Kong, Hong Kong SAR, China|3Centre for Global Child Health, Hospital for Sick Children, Toronto, Canada|4Wits Health Consortium, University of Witwatersrand, Johannesburg, South Africa|5Nigeria Centre for Disease Control, Abuja, Nigeria|6The BMJ, London, UK	('Niger', 2)|('Switzerland', 1)|('China', 1)|('Canada', 1)|('South Africa', 1)|('UK', 1)
Healthcare information for all	Pakenham-Walsh, Neil; Godlee, Fiona	Together, we can stop people dying from a lack of timely accurate healthcare information The World Medical Association (WMA) has unanimously approved a statement on healthcare information for all, proposed by the British Medical Association.1 The statement notes that lack of access to timely, current, evidence based healthcare information continues to be a major contributor to morbidity and mortality, especially in low and middle income countries, and calls on doctors worldwide to support initiatives to improve access for health professionals, patients, and the public. The BMJ hosted a conference on this issue in 19942 and cofounded Hinari in 2001, a partnership between publishers and the World Health Organization to improve the availability of e-journals and e-books in low and middle income countries.3 In 2004 we coauthored a paper in the Lancet describing the global healthcare information system and its interdependent parts.4 We called for a global campaign to support communication, understanding, and advocacy among all stakeholders. These include researchers, journal publishers, systematic reviewers, guideline developers, publishers of secondary materials (from textbooks to radio shows), those who guide and provide access (from search engines to librarians), and all who share the vision of a world where everyone has access to the information they need to protect their own and othersâ€™ health. Healthcare Information For All (HIFA) now has 20â€‰000 members â€¦	2020	NA	BMJ	368	NA	m759-m759	NA	10.1136/bmj.m759	4907	#4937	Pakenham-Walsh 2020	NA	* Opinion piece	10.1136/bmj.m759	1Global Healthcare Information Network, Charlbury, UK|2The BMJ, London, UK	('UK', 2)
Italian doctors call for protecting healthcare workers and boosting community surveillance during covid-19 outbreak	Anelli, Filippo; Leoni, Giovanni; Monaco, Roberto; Nume, Cosimo; Rossi, Roberto Carlo; Marinoni, Guido; Spata, Gianluigi; De Giorgi, Donato; Peccarisi, Luigi; Miani, Alessandro; Burgio, Ernesto; Gentile, Ivan; Colao, Annamaria; Triassi, Maria; Piscitelli, Prisco	Italy is in a dramatic situation owing to the spread of covid-19,1 but we could do more to protect medical doctors and all hospital workers, including nurses, therapists, technicians, and support staff. Beyond the personal risks that doctors and healthcare workers are facing directlyâ€”highlighted by the death of general practitioner and national delegate for continuous medical education Roberto Stella in Vareseâ€”hospitals and medical personnel are a potential vehicle for spread of covid-19.2 The New England Journal of Medicine has reported on the huge proportion of infected â€¦	2020	NA	BMJ	368	NA	m1254-m1254	NA	10.1136/bmj.m1254	16613	#15938	Anelli 2020	NA	* Opinion piece; Infection prevention and control	10.1136/bmj.m1254	1Italian Federation of Medical Professional Associations (FNOMCEO), Via Ferdinando di Savoia 1, 00196 Rome, Italy|2Medical Professional Association (OMCEO) of Taranto, Via F Crispi 107, 74123, Taranto, Italy|3Medical Professional Association (OMCEO) of Milan, Via Lanzone 31, 20123 Milan, Italy|4Medical Professional Association (OMCEO) of Bergamo, Via Giacomo Manzu' 25, 24122 Bergamo, Italy|5Medical Professional Association (OMCEO) of Como, Viale Massenzio Masia 30, 22100 Como, Italy|6Medical Professional Association (OMCEO) of Lecce, Via Nazario Saur, 31, 73100, Lecce, Italy|7Italian Society of Environmental Medicine (SIMA), Via Monte Leone 2, 20149 Milano|8UNESCO Chair on Health Education and Sustainable Development, Federico II University, Via S Pansini, 5, 80131, Naples Italy	('Italy', 7)
Covid-19 exposes weaknesses in European response to outbreaks	Anderson, Michael; McKee, Martin; Mossialos, Elias	European countries must work together in the common interest Covid-19 continues to spread across Europe. Italy, Germany, Spain, and France have all diagnosed over 6000 cases.1 Italy, which has diagnosed over 27â€‰000, the highest number outside China, has implemented nationwide restrictions on movement. On 10 March, the European Council met by video link to discuss the joint European approach to covid-19.2 Four priorities were identified: limiting the spread of the virus, provision of medical equipment, promotion of research, and dealing with the socioeconomic consequences. The importance of strengthening solidarity, cooperation, and exchange of information between member states was also reiterated. Despite high level political commitment from the EU, the ongoing spread of covid-19 exposes important obstacles to developing a comprehensive European response to infectious disease outbreaks. Member states have long guarded their national responsibility for health services.3 There are provisions within European treaties for acting together on public health issues, but they are limited. â€¦	2020	NA	BMJ	368	NA	m1075-m1075	NA	10.1136/bmj.m1075	9624	#9706	Anderson 2020	NA	* Opinion piece; Ethics, social science, economics; Infection prevention and control	10.1136/bmj.m1075	1London School of Economics and Political Science, London, UK|2London School of Hygiene and Tropical Medicine, London, UK|3Imperial College London, London, UK	('UK', 3)
Covid-19: how doctors and healthcare systems are tackling coronavirus worldwide	Tanne, Janice Hopkins; Hayasaki, Erika; Zastrow, Mark; Pulla, Priyanka; Smith, Paul; Rada, Acer Garcia	As coronavirus continues to spread, doctors and healthcare systems are facing a multitude of challenges at all stages of the pandemic The United States declared a national emergency on 13 March as covid-19 spread to 49 of the countryâ€™s 50 states. President Donald Trump announced $50bn (Â£42.1bn; â‚¬45.6bn) to help combat the virus, as well as powers to waive laws and restrictions to make care more available, such as through telehealth and allowing doctors to practise in states they are not licensed in. The presidentâ€”who has tested negative for covid-19 after contact with an infected Brazilian officialâ€”said that many more test kits would soon be available, as would a website to guide people as to signs of infection and whether they should seek testing. The vice president, Mike Pence, who is in charge of response to the outbreak, said that the focus was on the partnership between the government, private companies, and commercial and public laboratories to make widespread testing available. About 2000 laboratories would soon be able to process the tests, he said. The US government had faced mounting criticism over its response and admitted to failing to provide enough test kits. In the 13 March press conference Trump said that the Food and Drug Administration had approved a new test from the drug manufacturer Roche and that half a million of the kits would be available by 22 March, five million within a month. Deborah Birx, the White House response coordinator for covid-19, said that the tests would provide answers within 24 to 36 hours. The president also said that the Centers for Disease Control and Prevention (CDC) would open a website (www.coronavirus.gov)1 to help people decide whether they should seek testing. Leaders of commercial testing laboratories, drug store chains, and mass market retailers said that â€¦	2020	NA	BMJ	368	NA	m1090-m1090	NA	10.1136/bmj.m1090	9623	#9696	Tanne 2020	NA	* Narrative review; * Opinion piece; Ethics, social science, economics; Infection prevention and control	10.1136/bmj.m1090	1New York|2Boston|3Seoul|4Bangalore|5Sydney|6Madrid	NA
Managing mental health challenges faced by healthcare workers during covid-19 pandemic	Greenberg, Neil; Docherty, Mary; Gnanapragasam, Sam; Wessely, Simon	Neil Greenberg and colleagues set out measures that healthcare managers need to put in place to protect the mental health of healthcare staff having to make morally challenging decisions The covid-19 pandemic is likely to put healthcare professionals across the world in an unprecedented situation, having to make impossible decisions and work under extreme pressures. These decisions may include how to allocate scant resources to equally needy patients, how to balance their own physical and mental healthcare needs with those of patients, how to align their desire and duty to patients with those to family and friends, and how to provide care for all severely unwell patients with constrained or inadequate resources. This may cause some to experience moral injury or mental health problems. Moral injury, a term that originated in the military, can be defined as the psychological distress that results from actions, or the lack of them, which violate someoneâ€™s moral or ethical code.1 Unlike formal mental health conditions such as depression or post-traumatic stress disorder, moral injury is not a mental illness. But those who develop moral injuries are likely to experience negative thoughts about themselves or others (for example, â€œI am a terrible personâ€ or â€œMy bosses donâ€™t care about peopleâ€™s livesâ€) as well as intense feelings of shame, guilt, or disgust. These symptoms can contribute to the development of mental health difficulties, including depression, post-traumatic stress disorder, and even suicidal ideation.2 Equally, some people who have to contend with significant challenges, moral or traumatic, experience a degree of post-traumatic growth,3 a term used to describe a bolstering of psychological resilience, esteem, outlook, and values after exposure to highly challenging situations. Whether someone develops a psychological injury or experiences psychological growth is likely to be influenced by the way that they are supported â€¦	2020	NA	BMJ	368	NA	m1211-m1211	NA	10.1136/bmj.m1211	16619	#15931	Greenberg 2020	NA	* Case study/series; Clinical aspects, diagnosis, treatment	10.1136/bmj.m1211	1NIHR Health Protection Research Unit in Emergency Preparedness and Response, King’s College London, London, UK|2South London and the Maudsley NHS Trust, London, UK	('UK', 2)
Video consultations for covid-19	Greenhalgh, Trisha; Wherton, Joe; Shaw, Sara; Morrison, Clare	An opportunity in a crisis? The rapid spread of covid-19, and the fact that healthcare facilities could be sources of contagion, has focused attention on new models of care that avoid face-to-face contact between clinician and patient. There has been particular interest in video consultations, which are already being rolled out in many countries as part of national digital health strategies.123 How appropriate are video consultations for dealing with the coronavirus crisisâ€”and what are the challenges of scaling up this model at speed? Randomised trials (most of which were underpowered) have shown that clinical consultations conducted through a video link tend to be associated with high satisfaction among patients and staff; no difference in disease progression; no substantial difference in service use; and lower transaction costs compared with traditional clinic based care.4567 However, almost all this evidence pertains to highly selected samples of hospital outpatients with chronic, stable conditions and is largely irrelevant to the current escalating situation involving patients with an acute and potentially serious illness. Organisational case studies have shown that introducing video consultations is a complex change that disrupts long established processes and routines.891011 Some â€¦	2020	NA	BMJ	368	NA	m998-m998	NA	10.1136/bmj.m998	8263	#7708	Greenhalgh 2020	NA	* Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control	10.1136/bmj.m998	1Nuffield Department of Primary Care Health Sciences, University of Oxford, Oxford, UK|2Technology Enabled Care Programme, Scottish Government, Edinburgh, UK |Correspondence to: T Greenhalgh trish.greenhalgh{at}phc.ox.ac.uk	('UK', 2)|('uk', 1)
Coronavirus disease 2019 (covid-19): a guide for UK GPs	Razai, Mohammad S.; Doerholt, Katja; Ladhani, Shamez; Oakeshott, Pippa	What you need to knowConsider covid-19 infection in anyone with cough, fever, or breathlessness who has had contact with someone with covid-19, or has returned from a high risk area in the 14 days before the onset of symptomsEvery effort should be made to avoid in-person assessment of patients with possible covid-19 in primary careGP surgeries should plan ahead and develop clear protocols for managing possible cases, including isolation procedures, personal protective equipment, seeking specialist advice, and decontaminationIf covid-19 infection is suspected in someone attending the practice, isolate the patient in a room (away from other patients and staff), close the door, and ask the patient to call NHS 111The guidance may change so it is essential to look at the latest guidance online (box 1)The UK recorded its first confirmed case of acute respiratory infection due to coronavirus disease 2019 (covid-19) on 31 January 2020 and responded by quarantining at-risk individuals to contain the spread of infection. Executive agencies Public Health England (PHE)1 and Health Protection Scotland (HPS) have since published guidance to healthcare providers on managing patients suspected to have the disease.Guidance for the public and health professionals varies internationally, depending partly on risk levels and healthcare systems, and is being regularly updated.This article offers a practical guide for GPs and others working in UK primary care on when to suspect covid-19 and how to respond. It is based on current UK guidance at the time of publication. We recommend readers consult the latest guidance (box 1).Box 1 Essential resourcescovid-19: latest case definition, investigation, and initial clinical management of possible cases:https://www.gov.uk/government/publications/wuhan-novel-coronavirus-initial-investigation-of-possible-cases/investigation-and-initial-clinical-management-of-possible-cases-of-wuhan-novel-coronavirus-wn-cov-infectionCoronavirus: latest information and advice including updated list of high risk countries:https://www.gov.uk/guidance/wuhan-novel-coronavirus-information-for-the-publicGuidance on isolation of healthcare workers:https://www.gov.uk/government/publications/novel-coronavirus-2019-ncov-guidance-for-healthcare-providers-with-staff-who-have-travelled-to-china/guidance-for-healthcare-providers-healthcare-workers-who-have-travelled-to-chinaFind your local Health Protection Team in England:https://www.gov.uk/health-protection-teamcovid-19: interim guidance â€¦ RETURN TO TEXT	2020	NA	BMJ	368	NA	m800	NA	10.1136/bmj.m800	4851	#4464	Razai 2020	NA	* Normative guidance; Clinical aspects, diagnosis, treatment; Infection prevention and control	10.1136/bmj.m800	1Population Health Research Institute, St George University of London, London, UK|2St George’s University Hospital NHS Foundation Trust, London, UK|3Public Health England, London, UK	('UK', 3)
